,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example
561,亨,9.0,7,1952,1.0,"['コウ', 'キョウ', 'ホウ']",['とお.る'],"['pass through', 'go smoothly']",
562,享,8.0,8,1893,1.0,"['キョウ', 'コウ']",['う.ける'],"['enjoy', 'receive', 'undergo', 'answer (phone)', 'take', 'get', 'catch']",わが国はずっと何年にもわたって平和を享受してきた。
563,京,2.0,8,74,3.0,"['キョウ', 'ケイ', 'キン']",['みやこ'],"['capital', '10**16']",ジェーンは京都についてほど奈良について知りません。
564,供,6.0,8,313,2.0,"['キョウ', 'ク', 'クウ', 'グ']","['そな.える', 'とも', '-ども']","['submit', 'offer', 'present', 'serve (meal)', 'accompany']",民間の未開墾地がなかったため、国有地が開拓用に供された。
565,侠,,8,2385,,['キョウ'],"['きゃん', 'おとこだて']","['tomboy', 'chivalry']",
566,僑,,14,2044,,['キョウ'],[],"['expatriate', 'person living abroad', 'temporary home']",
567,兇,,6,0,,['キョウ'],"['おそ.れる', 'わる.い']",['wickedness'],何か重い兇器でやられたらしく、頭蓋骨は粉砕された。
568,競,4.0,20,610,2.0,"['キョウ', 'ケイ']","['きそ.う', 'せ.る', 'くら.べる']","['emulate', 'compete with', 'bid', 'sell at auction', 'bout', 'contest', 'race']",過当競争という言葉は日本の産業界でよく使われるが、その正確な定義はない。
569,共,4.0,6,174,2.0,['キョウ'],"['とも', 'とも.に', '-ども']","['together', 'both', 'neither', 'all', 'and', 'alike', 'with']",あの夫婦は共かせぎしている。だが亭主の給料のほうが女房の給料よりも低い。亭主が女房の尻にしかれるのも当然だ。
570,凶,8.0,4,1673,1.0,['キョウ'],[],"['villain', 'evil', 'bad luck', 'disaster']",最近の凶悪事件をニュースで見るたび、バーチャルな世界と生きる世界の区別がなくなった若者が急増していることに気付かされる。
571,協,4.0,8,121,2.0,['キョウ'],[],"['co-', 'cooperation']",彼は支配人に協力するのを嫌って仕事を辞めた。
572,匡,9.0,6,2176,1.0,"['キョウ', 'オウ']","['すく.う', 'ただ.す']","['correct', 'save', 'assist']",
573,卿,9.0,12,2138,,"['ケイ', 'キョウ']",['きみ'],"['you', 'lord', 'secretary', 'state minister']",それは、アンソニー卿の８０歳の誕生日でのコンサートであり、みんな切符を手に入れたがっていました。
574,叫,8.0,6,1426,2.0,['キョウ'],['さけ.ぶ'],"['shout', 'exclaim', 'yell']",その少年は助けを求めて叫んだが、自分の声を通す事はできなかった。
575,喬,9.0,12,1962,1.0,['キョウ'],['たか.い'],"['high', 'boasting']",
576,境,5.0,14,346,2.0,"['キョウ', 'ケイ']",['さかい'],"['boundary', 'border', 'region']",その国は２国と境を接している。
577,峡,8.0,9,1833,1.0,"['キョウ', 'コウ']",['はざま'],"['gorge', 'ravine']",アメリカ先住民の祖先は、ベーリング海峡を経由してアジアから大陸へ渡った。
578,強,2.0,11,112,3.0,"['キョウ', 'ゴウ']","['つよ.い', 'つよ.まる', 'つよ.める', 'し.いる', 'こわ.い']",['strong'],福島、宮城両県で震度6強を観測する地震が発生した。
579,彊,,16,0,,"['キョウ', 'ゴウ']",['つよ.い'],['strong'],
580,怯,,8,0,,"['キョウ', 'コウ']","['ひる.む', 'おびえ.る', 'おじる', 'おび.える', 'おそ.れる']","['cowardice', 'wince', 'flinch', 'hesitate', 'waver']",彼は卑怯者だと非難された。
581,恐,8.0,10,878,2.0,['キョウ'],"['おそ.れる', 'おそ.る', 'おそ.ろしい', 'こわ.い', 'こわ.がる']","['fear', 'dread', 'awe']",私は、両耳を指でふさいで、あの恐ろしい音が聞こえないようにしたの。
582,恭,8.0,10,1737,1.0,['キョウ'],['うやうや.しい'],"['respect', 'reverent']",敬礼は恭敬の意を表するものである。
583,挟,8.0,9,1870,2.0,"['キョウ', 'ショウ']","['はさ.む', 'はさ.まる', 'わきばさ.む', 'さしはさ.む']","['pinch', 'between']",これ以上ここでもたついてると、後ろの第二関門からも増援が来て、挟撃されるかも知れねーんだぜ。
584,教,2.0,11,166,3.0,['キョウ'],"['おし.える', 'おそ.わる']","['teach', 'faith', 'doctrine']",彼は仏教からキリスト教へ改宗した。
585,橋,3.0,16,553,2.0,['キョウ'],['はし'],['bridge'],橋のしたは暗かった。
586,況,8.0,8,490,2.0,['キョウ'],"['まし.て', 'いわ.んや', 'おもむき']","['condition', 'situation']",彼らの努力は状況をある程度よりよくした。
587,狂,8.0,7,1425,1.0,['キョウ'],"['くる.う', 'くる.おしい', 'くるお.しい']","['lunatic', 'insane', 'crazy', 'confuse']",「江戸から世界を魅了した画狂」
588,狭,8.0,9,1346,2.0,"['キョウ', 'コウ']","['せま.い', 'せば.める', 'せば.まる', 'さ']","['cramped', 'narrow', 'contract', 'tight']",車の速度を落とす装置（ハンプや狭さく）について、意見があったら書いてください。
589,矯,8.0,17,2105,1.0,['キョウ'],['た.める'],"['rectify', 'straighten', 'correct', 'reform', 'cure', 'control', 'pretend', 'falsify']",強い乱視はコンタクトレンズのほうが矯正できます。
590,胸,6.0,10,1144,2.0,['キョウ'],"['むね', 'むな-']","['bosom', 'breast', 'chest', 'heart', 'feelings']",彼女はその子を胸に抱いた。
591,脅,8.0,10,1183,1.0,['キョウ'],"['おびや.かす', 'おど.す', 'おど.かす']","['threaten', 'coerce']",脅かさないでよ。
592,興,5.0,16,734,1.0,"['コウ', 'キョウ']","['おこ.る', 'おこ.す']","['entertain', 'revive', 'retrieve', 'interest', 'pleasure']",この小説を読むことに興味のある生徒はほとんどいません。
593,蕎,9.0,15,0,,['キョウ'],['そば'],['buckwheat'],あの街には、お年寄りが経営する老翁亭という蕎麦屋がある。
594,郷,6.0,11,1077,1.0,"['キョウ', 'ゴウ']",['さと'],"['home town', 'village', 'native place', 'district']",いえ、お気になさらず。郷に入っては郷に従えと学んできました。
595,鏡,4.0,19,1506,1.0,"['キョウ', 'ケイ']",['かがみ'],"['mirror', 'speculum', 'barrel-head', 'round rice-cake offering']",メアリーは鏡で自分を見た。
596,響,8.0,20,502,1.0,['キョウ'],['ひび.く'],"['echo', 'sound', 'resound', 'ring', 'vibrate']",このテーマに関するほとんどの研究では、立法府の介入が悪影響をもたらしたということが示されている。
597,饗,9.0,22,2347,,['キョウ'],"['う.ける', 'もてな.す']",['banquet'],
598,驚,8.0,22,1141,1.0,['キョウ'],"['おどろ.く', 'おどろ.かす']","['wonder', 'be surprised', 'frightened', 'amazed']",彼がその冒険に成功したとは驚くべきことだ。
599,仰,8.0,6,1573,1.0,"['ギョウ', 'コウ']","['あお.ぐ', 'おお.せ', 'お.っしゃる', 'おっしゃ.る']","['face-up', 'look up', 'depend', 'seek', 'respect', 'revere', 'drink', 'take']",爆発の音に村人たちは仰天した。
600,凝,8.0,16,1712,1.0,['ギョウ'],"['こ.る', 'こ.らす', 'こご.らす', 'こご.らせる', 'こご.る']","['congeal', 'freeze', 'stiff', 'be absorbed in']",彼女は大勢の少年たちに凝視されているのを意識していたと思う。
601,尭,9.0,8,2136,1.0,['ギョウ'],['たか.い'],"['high', 'far']",
602,暁,8.0,12,1924,1.0,"['ギョウ', 'キョウ']","['あかつき', 'さと.る']","['daybreak', 'dawn', 'in the event']",高い木立の頂きに暁の風は、自然の眠りを醒ます先駆の叫びのように聞かれた。
603,業,3.0,13,43,3.0,"['ギョウ', 'ゴウ']",['わざ'],"['business', 'vocation', 'arts', 'performance']",過ちは人の常、許すは神の業。
604,局,3.0,7,286,2.0,['キョク'],['つぼね'],"['bureau', 'board', 'office', 'affair', 'conclusion', 'court lady', 'lady-in-waiting', 'her apartment']",この局に当たる者は無いか。
605,曲,3.0,6,810,2.0,['キョク'],"['ま.がる', 'ま.げる', 'くま']","['bend', 'music', 'melody', 'composition', 'pleasure', 'injustice', 'fault', 'curve', 'crooked', 'perverse', 'lean']",この曲を前に聞いたのは覚えている。
606,極,4.0,12,460,2.0,"['キョク', 'ゴク']","['きわ.める', 'きわ.まる', 'きわ.まり', 'きわ.み', 'き.める', '-ぎ.め', 'き.まる']","['poles', 'settlement', 'conclusion', 'end', 'highest rank', 'electric poles', 'very', 'extremely', 'most', 'highly', '10**48']",この磁場の線が２極で北の磁力と南の磁力の間に走っています。
607,玉,1.0,5,737,2.0,['ギョク'],"['たま', 'たま-', '-だま']","['jewel', 'ball']",子供たちが大きな雪の玉を転がしていた。
608,桐,9.0,10,1668,1.0,"['トウ', 'ドウ']",['きり'],['paulownia'],桐箱には香木等を用いた防虫香を共に納める。
609,粁,,9,0,,[],['キロメートル'],"['kilometer', '(kokuji)']",
610,僅,8.0,12,0,,"['キン', 'ゴン']",['わず.か'],['a wee bit'],僅かながらの私の持っていたお金を全部彼に与えた。
611,勤,6.0,12,830,2.0,"['キン', 'ゴン']","['つと.める', '-づと.め', 'つと.まる', 'いそ.しむ']","['diligence', 'become employed', 'serve']",私は、旅行会社に勤めています。
612,均,5.0,7,715,2.0,['キン'],['なら.す'],"['level', 'average']",我が社は均一料金にすることに決定した。
613,巾,8.0,3,0,,"['キン', 'フク']","['おお.い', 'ちきり', 'きれ']","['towel', 'hanging scroll', 'width', 'cloth radical (no. 50)']",５．反応が終わったら、濡れ雑巾の上に試験管をおく。
614,錦,8.0,16,1440,1.0,['キン'],['にしき'],"['brocade', 'fine dress', 'honors']",錦あやなす木々で山が染まっていた。
615,斤,8.0,4,0,1.0,['キン'],[],"['axe', '1.32 lb', 'catty', 'counter for loaves of bread', 'axe radical (no. 69)']",杖の回数と同じ斤量の銅を納めることで罪を回避すること（贖銅）も可能であった。
616,欣,9.0,8,2071,1.0,"['キン', 'ゴン', 'コン']","['よろこ.ぶ', 'よろこ.び']","['take pleasure in', 'rejoice']",
617,欽,9.0,12,2181,1.0,"['キン', 'コン']",['つつし.む'],"['respect', 'revere', 'long for']",この憲法は、立憲主義の要素と国体の要素を併せ持つ欽定憲法である。
618,琴,8.0,12,1591,1.0,"['キン', 'ゴン']",['こと'],"['harp', 'koto']",彼女は琴を弾くことがとても好きだ。
619,禁,5.0,13,681,2.0,['キン'],[],"['prohibition', 'ban', 'forbid']",彼は一年近くもアルコール類を断っていたが、お正月の頃に禁を破ってまた元に戻ってしまった。
620,禽,9.0,13,0,,['キン'],"['とり', 'とりこ']","['bird', 'captive', 'capture']",
621,筋,6.0,12,744,1.0,['キン'],['すじ'],"['muscle', 'sinew', 'tendon', 'fiber', 'plot', 'plan', 'descent']",筋がとおらないし、おさまりも悪い。
622,緊,8.0,15,677,1.0,['キン'],"['し.める', 'し.まる']","['tense', 'solid', 'hard', 'reliable', 'tight']",この緊急な事態において、人事や制度を改革し、清新な雰囲気と新しい観念を、われわれの組織の中に注入する以外に方策はない。
623,芹,9.0,7,2158,1.0,['キン'],['せり'],['parsley'],
624,菌,8.0,11,1586,1.0,['キン'],[],"['germ', 'fungus', 'bacteria']",ねずみはペスト菌を運ぶ。
625,衿,9.0,9,0,1.0,"['キン', 'コン']",['えり'],"['neck', 'collar', 'lapel']",
626,襟,8.0,18,2030,1.0,['キン'],['えり'],"['collar', 'neck', 'lapel', ""one's inner feelings""]",見知らぬ男が私の襟をつかんだ。
627,謹,8.0,17,2068,1.0,['キン'],['つつし.む'],"['discreet', 'reverently', 'humbly']",御尊父の死に謹んで哀悼の意を表します。
628,近,2.0,7,194,3.0,"['キン', 'コン']",['ちか.い'],"['near', 'early', 'akin', 'tantamount']",近医で処方を希望したら露骨に嫌な顔をされた。
629,金,1.0,8,53,4.0,"['キン', 'コン', 'ゴン']","['かね', 'かな-', '-がね']",['gold'],彼は金に困っている。
630,吟,8.0,7,1956,1.0,['ギン'],[],"['versify', 'singing', 'recital']",理論をより詳しく吟味する前に、いくつかの指摘をしておきたい。
631,銀,3.0,14,395,3.0,['ギン'],['しろがね'],['silver'],金は銀より重い。
632,九,1.0,2,55,4.0,"['キュウ', 'ク']","['ここの', 'ここの.つ']",['nine'],九引く六はいくつですか。
633,倶,,10,1842,,"['グ', 'ク']",['とも.に'],"['both', 'together', 'alike']",不倶戴天の敵と言われるほど、どうしてそんなに嫌われたかなあ。
634,句,5.0,5,1244,1.0,['ク'],[],"['phrase', 'clause', 'sentence', 'passage', 'paragraph', 'counter for haiku']",この句はどう意味ですか。
635,区,3.0,4,137,3.0,"['ク', 'オウ', 'コウ']",[],"['ward', 'district']",彼はチェスター区選出の議員に当選した。
636,狗,,8,0,,"['ク', 'コウ']",['いぬ'],"['puppy', 'dog']",
637,玖,9.0,7,0,1.0,"['キュウ', 'ク']",[],"['beautiful black jewel', 'nine']",
638,矩,9.0,10,2380,1.0,['ク'],"['かね', 'かねざし', 'さしがね']","['ruler', ""carpenter's square""]",矩形を描画します。
639,苦,3.0,8,623,2.0,['ク'],"['くる.しい', '-ぐる.しい', 'くる.しむ', 'くる.しめる', 'にが.い', 'にが.る']","['suffering', 'trial', 'worry', 'hardship', 'feel bitter', 'scowl']",なんの苦もなくその場所を見つけた。
640,躯,,11,0,,['ク'],"['むくろ', 'からだ']","['body', 'corpse', 'tree with rotten core']",これは、お前の体躯、護衛能力を考慮した上でのプランなのだ。是が非でもやってもらう。
641,駆,8.0,14,1033,1.0,['ク'],"['か.ける', 'か.る']","['drive', 'run', 'gallop', 'advance', 'inspire', 'impel']",彼ははあはあ言いながら階段を駆け上がった。
642,駈,10.0,15,0,,['ク'],"['か.ける', 'か.る']","['run', 'gallop', 'advance']",
643,駒,8.0,15,1452,1.0,['ク'],['こま'],"['pony', 'horse', 'colt']",歩という将棋の駒
644,具,3.0,8,629,2.0,['グ'],"['そな.える', 'つぶさ.に']","['tool', 'utensil', 'means', 'possess', 'ingredients', 'counter for armor, suits, sets of furniture']",具は梅干しとおかかのどちらがいい。
645,愚,8.0,13,1551,1.0,['グ'],['おろ.か'],"['foolish', 'folly', 'absurdity', 'stupid']",知らないほうが幸せな場合には、知ることは愚である。
646,虞,8.0,13,0,1.0,['グ'],"['おそれ', 'おもんぱか.る', 'はか.る', 'うれ.える', 'あざむ.く', 'あやま.る', 'のぞ.む', 'たの.しむ']","['fear', 'uneasiness', 'anxiety', 'concern', 'expectation', 'consideration']",失敗の虞がある。
647,喰,9.0,12,0,,[],"['く.う', 'く.らう']","['eat', 'drink', 'receive (a blow)', '(kokuji)']",タデ喰う虫も好き好き。
648,空,1.0,8,304,4.0,['クウ'],"['そら', 'あ.く', 'あ.き', 'あ.ける', 'から', 'す.く', 'す.かす', 'むな.しい']","['empty', 'sky', 'void', 'vacant', 'vacuum']",空は青い。
649,偶,8.0,11,1602,2.0,['グウ'],['たま'],"['accidentally', 'even number', 'couple', 'man & wife', 'same kind']",配偶者間人工授精を受けました。
650,寓,9.0,12,2330,,"['グウ', 'グ', 'ドウ']","['ぐう.する', 'かこつ.ける', 'よ.せる', 'よ.る', 'かりずまい']","['temporary abode', 'imply', 'suggest']",以下の一節は有名な寓話からの引用です。
651,遇,8.0,12,1343,1.0,['グウ'],['あ.う'],"['meet', 'encounter', 'interview', 'treat', 'entertain', 'receive', 'deal with']",これは私の生涯にとって千載一遇の機会です。
652,隅,8.0,12,1601,2.0,['グウ'],['すみ'],"['corner', 'nook']",隅のテーブルがいいのですが。
653,串,8.0,7,2139,,"['カン', 'ケン', 'セン']","['くし', 'つらぬ.く']","['spit', 'skewer']",スズメなどの小鳥を切らずに串焼きにしたものも同じく焼き鳥と呼ばれる。
654,櫛,9.0,17,2256,,['シツ'],"['くし', 'くしけず.る']",['comb'],外出する前に髪を櫛でときなさい。
655,釧,9.0,11,1751,,['セン'],"['くしろ', 'うでわ']",['bracelet'],私は一度も釧路に行ったことがありません。
656,屑,9.0,10,0,,['セツ'],"['くず', 'いさぎよ.い']","['rubbish', 'junk', 'trash', 'waste', 'scraps']",残飯の屑は害虫の住処になる。
657,屈,8.0,8,1434,1.0,['クツ'],"['かが.む', 'かが.める']","['yield', 'bend', 'flinch', 'submit']",彼は決して政治家の圧力に屈しないだろう。
658,掘,8.0,11,1257,2.0,['クツ'],['ほ.る'],"['dig', 'delve', 'excavate']",スチームショベルは片方に三階建て、もう片方に四階建てのの地下を掘りました。
659,窟,8.0,13,0,,"['クツ', 'コツ']","['いわや', 'いはや', 'あな']",['cavern'],洞窟からうつろに反響する音を耳にした。
660,沓,9.0,8,0,,['トウ'],['くつ'],"['shoes', 'boots']",
661,靴,8.0,13,1561,2.0,['カ'],['くつ'],['shoes'],私は新しい靴が気に入っている。
662,轡,,22,0,,['ヒ'],"['くつわ', 'たづな']",['bit (horse)'],
663,窪,9.0,14,1853,,"['ワ', 'ア']","['くぼ.む', 'くぼ.み', 'くぼ.まる', 'くぼ']","['depression', 'cave in', 'sink', 'become hollow']",雨が岩場の窪んだところにいくつもの水溜まりを作っていた。
664,熊,4.0,14,1105,1.0,['ユウ'],['くま'],['bear'],トラに比べれば熊は優しい動物です。
665,隈,9.0,12,2311,,"['ワイ', 'エ']","['くま', 'すみ']","['corner', 'nook', 'recess']",その界隈は行事で活気を呈している。
666,粂,,9,0,,[],['くめ'],"['used in proper names', '(kokuji)']",お粂の目には、父が筆のはこびにすこしの狂いも見いだされなかった。
667,栗,9.0,10,1550,1.0,"['リツ', 'リ']","['くり', 'おののく']",['chestnut'],栗は少なくとも１５分は茹でなくてはいけない。
668,繰,8.0,19,872,1.0,['ソウ'],['く.る'],"['winding', 'reel', 'spin', 'turn (pages)', 'look up', 'refer to']",一般的にいえば、歴史は繰り返す。
669,桑,8.0,10,1650,1.0,['ソウ'],['くわ'],['mulberry'],桑田変じて海となる。
670,鍬,9.0,17,0,,"['ショウ', 'シュウ']","['くわ', 'すき']",['hoe with long blade at acute angle'],
671,勲,8.0,15,1513,1.0,['クン'],['いさお'],"['meritorious deed', 'merit']",将軍は勇者に「君は勲章に値する」と言った。
672,君,3.0,7,947,2.0,['クン'],"['きみ', '-ぎみ']","['mister', 'you', 'ruler', 'male name suffix']",
673,薫,8.0,16,1849,1.0,['クン'],['かお.る'],"['send forth fragrance', 'fragrant', 'be scented', 'smoke (tobacco)']",薫さんはアメリカに行っています。
674,訓,4.0,10,1134,2.0,"['クン', 'キン']","['おし.える', 'よ.む', 'くん.ずる']","['instruction', 'Japanese character reading', 'explanation', 'read']",隊長は長時間行進させて新兵たちを訓練した。
675,群,4.0,13,1012,2.0,['グン'],"['む.れる', 'む.れ', 'むら', 'むら.がる']","['flock', 'group', 'crowd', 'herd', 'swarm', 'cluster']",この辞書は群を抜いてよい。
676,軍,4.0,9,189,2.0,['グン'],['いくさ'],"['army', 'force', 'troops', 'war', 'battle']",軍が政府を乗っ取った。
677,郡,4.0,10,965,1.0,['グン'],['こおり'],"['county', 'district']",その発電所は、その遠く離れた郡に電気を供給している。
678,卦,,8,0,,"['カ', 'カイ', 'ケ']",['うらかた'],['a divination sign'],
679,袈,9.0,11,0,1.0,"['ケ', 'カ']",[],['a coarse camlet'],彼の話はそうとう大袈裟だ。
680,祁,9.0,7,0,,"['キ', 'ケ']",[],"['intense', 'large']",
681,係,3.0,9,232,2.0,['ケイ'],"['かか.る', 'かかり', '-がかり', 'かか.わる']","['person in charge', 'connection', 'duty', 'concern oneself']",彼は例のスキャンダルと関係があると思う。
682,傾,8.0,13,938,2.0,['ケイ'],"['かたむ.く', 'かたむ.ける', 'かたぶ.く', 'かた.げる', 'かし.げる']","['lean', 'incline', 'tilt', 'trend', 'wane', 'sink', 'ruin', 'bias']",彼は自分の思い通りにならないと腹を立てる傾向がある。
683,刑,8.0,6,864,1.0,['ケイ'],[],"['punish', 'penalty', 'sentence', 'punishment']",被告は懲役１０年の刑を宣告された。
684,兄,2.0,5,1219,3.0,"['ケイ', 'キョウ']",['あに'],"['elder brother', 'big brother']",兄が西洋の国に行って欲しくない。
685,啓,8.0,11,1403,1.0,['ケイ'],"['ひら.く', 'さと.す']","['disclose', 'open', 'say']",ずば抜けた着想というのは、往々にして天啓のごとくヒラメク[]()ようだ。
686,圭,9.0,6,1837,1.0,"['ケイ', 'ケ']",[],"['square jewel', 'corner', 'angle', 'edge']",圭はその問いにギクリとさせられたが、頭を何でもないといいたそうに横に振る。
687,珪,,10,0,,['ケイ'],['たま'],['jade scepter or tablet (authority symbol)'],
688,型,5.0,9,482,2.0,['ケイ'],"['かた', '-がた']","['mould', 'type', 'model']",大きな型の冷蔵庫がほしい。
689,契,8.0,9,898,1.0,['ケイ'],['ちぎ.る'],"['pledge', 'promise', 'vow']",ジョンソン氏は突然考えを変え、契約書に署名した。
690,形,2.0,7,418,2.0,"['ケイ', 'ギョウ']","['かた', '-がた', 'かたち', 'なり']","['shape', 'form', 'style']",地球は球の形をしている。
691,径,4.0,8,1435,1.0,['ケイ'],"['みち', 'こみち', 'さしわたし', 'ただちに']","['diameter', 'path', 'method']",その穴の直径のほうがわずかに大きかった。
692,恵,8.0,10,925,2.0,"['ケイ', 'エ']","['めぐ.む', 'めぐ.み']","['favor', 'blessing', 'grace', 'kindness']",「野田恵って子知っていますよね」「のだ？」「『はぎゃ』とか『ふぎ』とか奇声を発する」
693,慶,8.0,15,1300,1.0,['ケイ'],['よろこ.び'],"['jubilation', 'congratulate', 'rejoice', 'be happy']",明治は５対３のスコアで慶応に敗れた。
694,慧,9.0,15,2168,1.0,"['ケイ', 'エ']",['さとい'],['wise'],
695,憩,8.0,16,1731,1.0,['ケイ'],"['いこ.い', 'いこ.う']","['recess', 'rest', 'relax', 'repose']",もう３時間以上も運転しているから、ドライブインでちょっと休憩しよう。
696,掲,8.0,11,899,1.0,['ケイ'],['かか.げる'],"['put up (a notice)', 'put up', 'hoist', 'display', 'hang out', 'publish', 'describe']",公園の掲示には「芝生に入るな」と書かれていた。
697,携,8.0,13,1017,1.0,['ケイ'],"['たずさ.える', 'たずさ.わる']","['portable', 'carry (in hand)', 'armed with', 'bring along']",イギリスは警官が銃を携帯しない国です。
698,敬,6.0,12,1078,2.0,"['ケイ', 'キョウ']",['うやま.う'],"['awe', 'respect', 'honor', 'revere']",議論は相互の尊敬の念に基づいている。
699,景,4.0,12,419,2.0,['ケイ'],[],"['scenery', 'view']",函館山に登るとすばらしい函館の夜景が見られる。
700,桂,9.0,10,1651,1.0,['ケイ'],['かつら'],"['Japanese Judas-tree', 'cinnamon tree']",桂の木の林がある。
701,渓,8.0,11,2063,1.0,['ケイ'],"['たに', 'たにがわ']","['mountain stream', 'valley']",日は西に傾いて渓の東の山々は目映ゆきばかり輝いている
702,畦,,11,0,,['ケイ'],"['あぜ', 'うね']","['rice paddy ridge', 'furrow', 'rib']",
703,稽,8.0,15,2372,,['ケイ'],"['かんが.える', 'とど.める']","['think', 'consider']",彼女は稽古を休んだ。
704,系,6.0,7,567,1.0,['ケイ'],[],"['lineage', 'system']",Windows系ＯＳではアドミニストレーターアカウントがルートに相当する。
705,経,5.0,11,79,2.0,"['ケイ', 'キョウ', 'キン']","['へ.る', 'た.つ', 'たていと', 'はか.る', 'のり']","['sutra', 'longitude', 'pass thru', 'expire', 'warp']",習わぬ経は読めぬ。
706,継,8.0,13,743,1.0,['ケイ'],"['つ.ぐ', 'まま-']","['inherit', 'succeed', 'continue', 'patch', 'graft (tree)']",テレビ中継された大阪での追跡劇の末、彼は逮捕された。
707,繋,,17,0,,['ケイ'],"['つな.ぐ', 'かか.る', 'か.ける']","['tie', 'fasten', 'chain', 'tether', 'connect']",僅かな不注意が大惨事に繋がる恐れがある。
708,罫,,13,0,,"['ケイ', 'カイ', 'ケ']",[],['ruled line'],
709,茎,8.0,8,2013,1.0,"['ケイ', 'キョウ']",['くき'],"['stalk', 'stem']",その茎は君の小指よりやや太い。
710,荊,,9,0,,['ケイ'],['いばら'],"['thorn', 'brier', 'whip']",
711,蛍,8.0,11,2031,1.0,['ケイ'],['ほたる'],"['lightning-bug', 'firefly']",ハリーは本当に蛍光灯だね。
712,計,2.0,9,228,3.0,['ケイ'],"['はか.る', 'はか.らう']","['plot', 'plan', 'scheme', 'measure']",一年の計は元旦にあり。
713,詣,8.0,13,0,,"['ケイ', 'ゲイ']","['けい.する', 'まい.る', 'いた.る', 'もう.でる']","['visit a temple', 'arrive', 'attain']",日本文化に造詣深いことはいいことです。
714,警,6.0,19,366,2.0,['ケイ'],['いまし.める'],"['admonish', 'commandment']",警戒するに越したことはない。
715,軽,3.0,12,790,3.0,"['ケイ', 'キョウ', 'キン']","['かる.い', 'かろ.やか', 'かろ.んじる']","['lightly', 'trifling', 'unimportant']",私は３時頃軽い食事した。
716,頚,,14,2470,,['ケイ'],['くび'],"['neck', 'head']",局所麻酔下で行う内頚動脈内膜剥離術と全身麻酔下での比較。
717,鶏,8.0,19,1901,1.0,['ケイ'],"['にわとり', 'とり']",['chicken'],この鶏は近頃卵を産まない。
718,芸,4.0,7,719,2.0,"['ゲイ', 'ウン']","['う.える', 'のり', 'わざ']","['technique', 'art', 'craft', 'performance', 'acting', 'trick', 'stunt']",芸は身を助ける。
719,迎,8.0,7,625,2.0,['ゲイ'],['むか.える'],"['welcome', 'meet', 'greet']",我が社のリオの代理人が空港であなたを出迎えます。
720,鯨,8.0,19,1486,1.0,['ゲイ'],['くじら'],['whale'],鯨は魚と形が似ている。
721,劇,6.0,15,662,2.0,['ゲキ'],[],"['drama', 'play']",その劇は決して失敗ではなかった。
722,戟,9.0,12,0,,['ゲキ'],['ほこ'],"['halbert', 'arms']",
723,撃,8.0,15,473,1.0,['ゲキ'],['う.つ'],"['beat', 'attack', 'defeat', 'conquer']",そのクモは素早い反撃をする。
724,激,6.0,16,560,1.0,['ゲキ'],['はげ.しい'],"['violent', 'get excited', 'enraged', 'chafe', 'incite']",この週末には２つの最強のチームが激突する。
725,隙,8.0,13,0,,"['ゲキ', 'キャク', 'ケキ']","['すき', 'す.く', 'す.かす', 'ひま']","['crevice', 'fissure', 'discord', 'opportunity', 'leisure']",戸の隙から明かりが漏れる。
726,桁,8.0,10,0,,['コウ'],['けた'],"['beam', 'girder', 'spar', 'unit or column (accounting)']",医者なら６桁の収入は珍しくない。
727,傑,8.0,13,1926,1.0,['ケツ'],['すぐ.れる'],"['greatness', 'excellence']",彼は同時代の画家の中でも傑出している。
728,欠,4.0,4,860,2.0,"['ケツ', 'ケン']","['か.ける', 'か.く']","['lack', 'gap', 'fail', 'yawning radical (no. 76)']",劇場に向かう途中でガス欠になった。
729,決,3.0,7,71,2.0,['ケツ'],"['き.める', '-ぎ.め', 'き.まる', 'さ.く']","['decide', 'fix', 'agree upon', 'appoint']",えっと、じゃ、決を取りたいと思います。今の小川君の提案に賛成の人、手を上げてください。
730,潔,5.0,15,1595,1.0,['ケツ'],['いさぎよ.い'],"['undefiled', 'pure', 'clean', 'righteous', 'gallant']",私には彼がその犯罪について潔白だと信じる十分な理由がある。
731,穴,6.0,5,1366,1.0,['ケツ'],['あな'],"['hole', 'aperture', 'slit', 'cave', 'den']",私達は地面に穴を掘った。
732,結,4.0,12,162,2.0,"['ケツ', 'ケチ']","['むす.ぶ', 'ゆ.う', 'ゆ.わえる']","['tie', 'bind', 'contract', 'join', 'organize', 'do up hair', 'fasten']",結果次第では、両社に対して2月以来の行政指導が行われる。
733,血,3.0,6,832,2.0,['ケツ'],['ち'],['blood'],彼らは血がつながっている。
734,訣,9.0,11,0,,['ケツ'],"['わかれ', 'わかれ.る']","['separation', 'part', 'secret']",長生きの秘訣は、生き甲斐を持つ事だそうだ。
735,月,1.0,4,23,4.0,"['ゲツ', 'ガツ']",['つき'],"['month', 'moon']",１０月３日です。
736,件,5.0,6,212,2.0,['ケン'],['くだん'],"['affair', 'case', 'matter', 'item']",ゆうべは火事が５件あった。
737,倹,8.0,10,2479,1.0,['ケン'],"['つま.しい', 'つづまやか']","['frugal', 'economy', 'thrifty']",一身一家の生計を密にして外面の辺幅を張らざるものを倹と云う。
